Ruund	French
Yom yiney yikat kumekan mudi yom ya manangu mulong akat kwifukwil mudi mudia rusot ra muntu, akat kwitudish kwa makasu, ni kuumesh mujimbu mar. Pakwez yom yiney kiyikwetap usu wa kukangesh maku mayimp ma mujimbu.	Certes, ces règles ont une apparence de sagesse, car elles parlent de religion personnelle, d'humilité et d'obligation de traiter durement son corps; mais elles n'ont aucune valeur pour maîtriser les désirs de notre propre nature.
En akuvumbwilany kal ku rufu kwikal kand aom pamwing nend Kristu, chawiy sotany yom yakutenchikinanyay Nzamb mwiur, kushichay Kristu pa ditand diend ku chikas cha katatuku cha Nzamb,	Vous avez été ramenés de la mort à la vie avec le Christ. Alors, recherchez les choses qui sont au ciel, là où le Christ siège à la droite de Dieu.
Tongijokangany ku yom yidia mwiur, kangal watongijokany ku yom yidia pansh.	Préoccupez-vous de ce qui est là-haut et non de ce qui est sur la terre.
Mulong en wafilany kal, chad mom yen ayijindjikin pamwing nend Kristu mwi Nzamb.	Car vous êtes morts, et votre vie est cachée avec le Christ en Dieu.
Mwom wen wakin udi Kristu, chad pakez kumekanay Kristu niyen ukez kumekanany nend pamwing mu uyaj wend.	Votre véritable vie, c'est le Christ, et quand il paraîtra, alors vous paraîtrez aussi avec lui en participant à sa gloire.
Mwom ukur ni mwom usu	La vie ancienne et la vie nouvelle
Chifanyidin kujip rusot ren ruyimp rikata kulondul yom ya mangand, mudi usund, ni kusotijan, ni upwepu, ni maku mayimp ma mujimbu, ni ris, mulong ris ridi mutapu wa kwifukwil akish.	Faites donc mourir tout ce qui est terrestre en vous: l'immoralité, l'impureté, les passions, les mauvais désirs et l'avarice (car l'avarice, c'est de l'idolâtrie).
Mulong wa yom mudi yiney, ujim wa Nzamb ukuyiwil antu awonsu akad kumuziyil ndiy.	Ce sont de telles fautes qui attirent la colère de Dieu sur ceux qui s'opposent à lui.
Pakur yaku yen yading mwamu, piwading mwom wen auyikedil kudi yitil.	Voilà comment vous vous conduisiez autrefois quand votre vie était dominée par ces péchés.
Pakwez katat djibulany yom yiney yawonsu, ujim, ni kuswej, ni kuyip. Kangal kusesan ap masaal yabudik mu kan mwen.	Mais maintenant, rejetez tout cela: la colère, l'irritation et la méchanceté. Qu'aucune insulte ou parole grossière ne sorte de votre bouche.
Kangal walondany yom ya makasu kudi muntu ni mukwau, mulong en wamudjodilany kal muntu mukur ni yaku yend,	Ne vous mentez pas les uns aux autres, car vous avez abandonné votre vieille nature avec ses habitudes
chad wamudjadilany kal muntu musu. Muntu mwinou musu amutangil kudi Nzamb, ukat kumwikadishang kufanakan chifu chend, chakwel en ukez kumwijikany Nzamb mu yom yawonsu.	et vous vous êtes revêtus de la nouvelle nature: vous êtes des êtres nouveaux que Dieu, notre Créateur, renouvelle continuellement à son image, pour que vous le connaissiez parfaitement.
Mulong wa chom chinech, kwikil kand kwaurik kwa antu a michid yikwau nau in Yuda, ni kwa ayila ku mukand ni ayidim, ni kwa antu ilejina ni antu akad kwilej, ni kwa aswik ni ant ipau, pakwez Kristu ndiy kamu yom yawonsu, udi kamu mu yom yawonsu.	Il n'importe donc plus que l'on soit non-Juif ou Juif, circoncis ou incirconcis, non civilisé, primitif, esclave ou homme libre; ce qui compte, c'est le Christ qui est tout et en tous.
En udiany antu atondilay Nzamb, udiany antu atumbila akatilay. Chawiy djalany riy, ni kudimuk, ni kwishikumwish, ni kuwap, ni kushimpish kwa muchim.	Vous faites partie du peuple de Dieu; Dieu vous a choisis et il vous aime. C'est pourquoi vous devez vous revêtir d'affectueuse bonté, de bienveillance, d'humilité, de douceur et de patience.
Kwashijanany akasikena ni aziyila, anch muntu ukwet mulong ni mukwau chifanyidin kulikishijadin umwing ni mukwau, mudi mwakulikishinanyau en kudi Nsalejetu. Niyen salany kand mwamu.	Supportez-vous les uns les autres; et si l'un de vous a une raison de se plaindre d'un autre, pardonnez-vous réciproquement, tout comme le Seigneur vous a pardonné.
Pa yom yiney yawonsu anzukeshanyap rukat, rawiy mwoj wa kukukasany mu umwing uwanyidina.	Et par-dessus tout, mettez l'amour, ce lien qui vous permettra d'être parfaitement unis.
Chifanyidin chisambu cha Kristu chiyikel mu michim yen, mulong ku chisambu chinech kwawiy kwakutazukinanyau kwikal mujimbu umwing. Mujikitishangany Nzamb.	Que la paix du Christ règne dans vos cœurs; c'est en effet à cette paix que Dieu vous a appelés, en tant que membres d'un seul corps. Soyez reconnaissants.
Chifanyidin mapit mawonsu ma Rusangu Ruwamp ra Kristu mashakam mu michim yen. Lejijanany ni kubabeshijanany umwing ni mukwau nich manangu mawonsu. Muwangilany Nzamb miminy ya kuseng, ni miminy ya win Kristu, ni miminy ya kumushiman, muwangilany nich kujikitish mu michim yen.	Que la parole du Christ, avec toute sa richesse, habite en vous. Instruisez-vous et avertissez-vous les uns les autres avec une pleine sagesse. Chantez à Dieu, de tout votre cœur et avec reconnaissance, des psaumes, des hymnes et des cantiques inspirés par l'Esprit.
Yom yawonsu yiukusalany ni yiukulondany, yisadilany mu dijin dia Nsalejetu Yesu, ni kupan kujikitish kudi Nzamb Tatuku mwi ndiy.	Tout ce que vous faites, en paroles ou en actions, faites-le au nom du Seigneur Jésus, en remerciant par lui Dieu le Père.
Yaku ya mwom usu	Les rapports personnels dans la vie nouvelle
En amband angachik, muntu ni muntu amuziyila nfumwend, mwamu muchifanyidina kusal mwi Nsalejetu.	Femmes, soyez soumises à vos maris, comme il convient de le faire devant le Seigneur.
En amakundj angatan, muntu ni muntu amukata mukajend wakad kumuzazimwokin.	Maris, aimez vos femmes et ne leur montrez point de mauvaise humeur.
Niyen an, yiziyilany anvajen ku yom yawonsu, mulong chom chinech chikat kumusangarish Nsalejetu Yesu.	Enfants, obéissez en tout à vos parents, car voilà ce que le Seigneur approuve.
En atatuku, kangal wayiswidioshany anen, chamwamu akuziy mu michim yau.	Pères, n'irritez pas vos enfants, afin qu'ils ne se découragent pas.
En aswik, yiziyilany ansalejen a panap pansh ku yom yawonsu. Kangal wasalany mwamu mulong chikutadilanyau chakwel uyisangarishany, pakwez salany nich muchim umwing mudi antu akata kumulimish Nsalejetu.	Esclaves, obéissez en tout à vos maîtres d'ici-bas. Ne le faites pas seulement quand ils vous surveillent, pour leur plaire; mais obéissez d'un cœur sincère, à cause du respect que vous avez pour le Seigneur.
Ku midimu yawonsu yiukusalany, salany nich mushiku mudi muukata kumusadilany Nsalejetu, wakad kutong anch, ukat kuyisadilany ching kusu antu.	Quel que soit votre travail, faites-le de tout votre cœur, comme pour le Seigneur et non pour des hommes.
Vurikany anch, Nsalejetu ukez kukwinkishany uswan kwikal difut dien diwamp, mulong Kristu ndiy Nsalejetu wakin ukata kusadilany.	Rappelez-vous que le Seigneur vous récompensera: vous recevrez les biens qu'il réserve aux siens. Car le véritable Maître que vous servez, c'est le Christ.
Pakwez muntu mwawonsu ukusala nayimp akez kumufut mudi mudia kuyip kusadilay. Mulong Nzamb kakwetap kasolikany.	Mais celui qui fait le mal en subira les conséquences, car Dieu n'avantage personne.
En ansalejau au aswik, yilamany aswik en nich kutentam ni wakad kudimban. Vurikany anch niyen ukwetany Nsalejen mwiur.	Maîtres, traitez vos esclaves d'une façon droite et juste. Rappelez-vous que vous avez, vous aussi, un Maître dans le ciel.
Malejan ma Paul	Recommandations
Dandamenany mu kulembil, babalany piukata kulembilany, mujikitishany kand Nzamb.	Priez avec fidélité, demeurez vigilants par la prière adressée à Dieu avec reconnaissance.
Piukulembilany, tuvurikany kand niyetu mu kulembil, chakwel Nzamb atwinkish chisu chiwamp cha kurumburil rusangu ra ujindj wa Kristu. Kurumburil rusangu riner wawiy mulong wintekidinau mu rukan.	En même temps, priez aussi pour nous, afin que Dieu nous accorde une occasion favorable de prêcher sa parole, d'annoncer le secret du Christ. En effet, c'est pour cela que je suis maintenant en prison.
Chawiy nlembidilany chakwel nikutwish kwovakesh rusangu riner patok mudi munifanyidina kusal.	Priez donc pour que je puisse parler de ce secret et le faire clairement connaître, comme je le dois.
Shakamany nich manangu nau antu akad kwikal in Kristu, sotany chisu cha kusal yom yiwamp.	Conduisez-vous avec sagesse envers les non-chrétiens, en profitant de toute occasion qui se présente à vous.
Chifanyidin mazu men mikala ma kalimish yisu yawonsu, ambambany nawamp nau antu akwau, ijikany mutapu wa kuyakul antu awonsu nawamp.	Que vos paroles soient toujours agréables et pleines d'intérêt; sachez répondre à chacun de la bonne manière.
Kulangwish kwa Paul kwa kwisudiel	Salutations finales
Mwanamakwetu Tishik, mwin Kristu ukez kukulejany rusangu ramam. Ndiy udi muntu unikatila nakash, udi mwin mudimu wakin, udi kashalapol pamwing ni yamam mwi Nsalejetu.	Tychique, notre compagnon, ce cher frère et fidèle collaborateur au service du Seigneur, vous donnera toutes les nouvelles qui me concernent.
Namutum kal swa kudi en mulong wa kukulejany jinsangu jetwetu, ni mulong kand wa kukukasikeshany.	Je vous l'envoie donc en particulier pour vous dire comment nous allons et pour vous réconforter.
Wezil nend Onezim, ndiy udi mwanamakwetu mwin Kristu wakin unikatila, udi mwanamakwen wa kwinaku. Awiy akukulejany yom yawonsu yisutila kunoku.	Il est accompagné par Onésime, le cher et fidèle frère, qui est l'un des vôtres. Ils vous informeront de tout ce qui se passe ici.
Aristarik, udia mu rukan pamwing ni yamam, wakulangwishany, niyend Marko, mwanamakwend wa Barnabas, wakulangwishany kand. Akulejinany kal anch chifanyidin kumwak Marko nawamp.	Aristarque, qui est en prison avec moi, vous adresse ses salutations, ainsi que Marc, le cousin de Barnabas. Vous avez déjà reçu des instructions au sujet de Marc: s'il vient chez vous, accueillez-le bien.
Niyend Joshua, upidilau anch, Justus, wakulangwishany. Awiy inay in Yuda asatu akarumukina kal kwikal in Kristu, akata kusal mudimu wa Want wa Nzamb pamwing ni yamam. Awiy akata kwinkasikesh am nakash.	Jésus, surnommé Justus, vous salue aussi. Ces trois hommes sont les seuls chrétiens d'origine juive qui travaillent avec moi pour le Royaume de Dieu; ils ont été un grand réconfort pour moi.
Akulangwishinany kudi Epaferas, ndiy udi umwing wenen. Ndiy udi kashalapol wa Kristu Yesu ukata kukulembidilany yisu yawonsu chakwel ukwimanany dang. Mwamu ukwikalany antu awanyidina wakad kwidjidjek mu ritiy, in kuziyil ku rusot rawonsu ra Nzamb.	Épaphras, qui est aussi l'un des vôtres, vous salue; ce serviteur de Jésus-Christ ne cesse pas de prier avec ardeur pour vous, afin que vous demeuriez fermes, spirituellement adultes et bien décidés à faire en tout la volonté de Dieu.
Am nikutwish kulet uman mulong wa mudimu wend ukash wasalay kudi en, ni kudi in Laodisey, ni kudi in Herapolis.	Je peux lui rendre ce témoignage: il se donne beaucoup de peine pour vous, pour ceux de Laodicée et pour ceux d'Hiérapolis.
Luka, mwingang wetu unikatila, pamwing nend Demas akulangwishany.	Luc, notre ami le médecin, et Démas vous saluent.
Panany kulangwish kwam kudi anamakwetu in Kristu a ku Laodisey, ni kudi Nimfa, pamwing nau in Kristu akata kukumangen mu chikumbu chend.	Saluez les frères qui sont à Laodicée, ainsi que Nympha et l'Église qui se réunit dans sa maison.
Piukupwishanya kutang mukand winou, upanany kand akautang kudi in Chikumbu cha Nzamb ku Laodisey. Niyen ukutangany kand mukand ukukutuminanyau kudi in Laodisey.	Quand vous aurez lu cette lettre, faites en sorte qu'on la lise aussi dans l'Église de Laodicée; lisez vous-mêmes celle qu'on vous transmettra de là-bas.
Mulejany Ariship anch: "Wanyish mudimu nawamp wakwinkishau ku mudimu wa Nsalejetu."	Dites à Archippe: «Prends soin de bien accomplir la tâche dont tu as été chargé au service du Seigneur.»
Yam Paul, nifundila kulangwish kwinoku nich chikas cham. Vurikany jimbwambu jinkasinau. Nilembidil anch ranaken ra Nzamb rikala ni yenen.	C'est de ma propre main que j'écris ces mots: Salutations de Paul. N'oubliez pas que je suis en prison. Que la grâce de Dieu soit avec vous.
Yam Paul, ni Silas, nend Timote tufundila mukand winou kudi en, in Chikumbu cha Nzamb a ku musumb wa Tesalonik. En udianya antu a Nzamb Tatuku ni a Nsalejetu Yesu Kristu. Chifanyidin ranaken ra Nzamb ni chisambu yikala ni yenen.	De la part de Paul, Silas et Timothée. A l'Église de Thessalonique, qui appartient à Dieu le Père et au Seigneur Jésus-Christ: Que la grâce et la paix vous soient accordées.
Mwom ni ritiy ya in Tesalonik	La vie et la foi des Thessaloniciens
Etu tukat kumujikitish Nzamb machuku mawonsu mulong wenen, tukat kudandamen kukuvurikany mu kulembil kwetu.	Nous remercions toujours Dieu pour vous tous et nous pensons sans cesse à vous dans nos prières.
Pitukata kulembil kudi Nzamb Tatukwetu, tukat kuvurik mudimu wa ritiy ren, ni yom yiwasalanya mu rukat ni mu ruchingej rudimukina riukwetanya mwi Nsalejetu Yesu Kristu.	En effet, nous nous rappelons devant Dieu notre Père votre foi si efficace, votre amour si actif et votre espérance si ferme en notre Seigneur Jésus-Christ.
Anamakwetu in Kristu, etu twij anch Nzamb wakukatanya, ndiy kand wakutondanya kwikal aend.	Nous savons, frères, que Dieu vous a aimés et vous a choisis pour être à lui.
Mulong etu twakulejanya Rusangu Ruwamp, kitwalondap mazu mamwamu, bwat, pakwez twalonda nich ukash wa Mwiku Utumbila, nich kand kashinsh ka uyakin wa Rusangu riner. Wijany mutapu twashakama nawamp ni yenen mulong wa kukukwashany.	En effet, quand nous vous avons annoncé la Bonne Nouvelle, ce ne fut pas seulement en paroles, mais aussi avec la puissance et le secours du Saint-Esprit, et avec une entière conviction. Vous savez comment nous nous sommes comportés parmi vous, pour votre bien.
En watwilakejanya etu, wamwilakejany kand Nsalejetu. Ap anch wamananyap nchik mar mavud, en wakanya dizu dia Nzamb nich musangar upanyinay Mwiku Utumbila.	Vous avez suivi notre exemple et celui du Seigneur; malgré la détresse qui était la vôtre, vous avez reçu la parole de Dieu avec la joie qui vient du Saint-Esprit.
Chawiy katat niyen wikadilany kal chilikej kudi in kwitiyij a mwi ngand ya Masedon ni ya Akey.	Ainsi, vous êtes devenus un modèle pour tous les croyants de Macédoine et d'Achaïe.
Rusangu Ruwamp ra Nsalejetu rijiken mwi ngand ya Masedon ni ya Akey mulong wenen, pakwez rusangu ra ritiy ren mwi Nzamb rijiken kwawonsu. Etu kitukutwishap kwiswil kand kulond nakash.	En effet, non seulement la parole du Seigneur s'est propagée de chez vous en Macédoine et en Achaïe, mais encore c'est partout que la nouvelle de votre foi en Dieu s'est répandue. Nous n'avons donc pas besoin d'en parler.
Antu inay awonsu akat kulond mutapu watwakanya, ni mutapu wakarumukanya kudiokal ku akish chakwel umusadilany Nzamb wakin mwom,	Tous racontent comment vous nous avez accueillis quand nous sommes allés chez vous et comment vous avez abandonné les idoles pour vous tourner vers Dieu, afin de le servir, lui, le Dieu vivant et vrai.
ni kumuchingel Mwanend kudiokal mwiur. Mwanend, ndiy kamu Yesu, wavumbulay mu rufu kwikal kand mwom, ndiy ukata kutukamunin ku ujim wa Nzamb ukeza kwez.	Vous attendez que Jésus, son Fils, vienne des cieux. C'est lui que Dieu a ramené d'entre les morts; il nous délivre du jugement divin, qui est proche.
Mudimu wasalay Paul ku Tesalonik	L'activité de Paul à Thessalonique
Anamakwetu in Kristu, en ayinen wijany nawamp anch, etu kitwezilap kudi en chamwamu, bwat.	Vous le savez bien vous-mêmes, frères: ce n'est pas inutilement que nous sommes allés chez vous.
En ayinen wijany nawamp anch, atumesha mar ni kutusaal masaal mu musumb wa Filip, pitwading kand kal tushika kudi en mu Tesalonik. Ap anch kwadingap nchik antu avud atupompata, Nzamb wetu watwinkisha kujijaman chakwel tukulejany en Rusangu Ruwamp ridiokila kudi ndiy.	Vous savez aussi que, peu auparavant, nous avions été insultés et maltraités à Philippes. Mais Dieu nous a donné le courage de vous annoncer sa Bonne Nouvelle, malgré une forte opposition.
Kurumburil kwetu kwa Rusangu Ruwamp kikudiap kwa makasu ap kwa muchim uyimp, ap kwa kuyidimb antu.	En effet, l'appel que nous adressons à tous n'est pas fondé sur l'erreur ou sur des motifs impurs, et nous ne cherchons à tromper personne.
Mudi mutuchingejinau etu kudi Nzamb mulong wa kurumburil Rusangu Ruwamp, kitukat kulondap mulong wa kuyisangarish antu, pakwez tukat kulond mulong wa kumusangarish Nzamb ukata kupak michim yetu.	Au contraire, nous parlons toujours comme Dieu le veut, car il nous a jugés dignes de confiance et nous a confié sa Bonne Nouvelle. Nous ne cherchons pas à plaire aux hommes, mais à Dieu qui évalue nos intentions profondes.
En wijany nawamp anch, kitwalondap nich mazu ma rulemb mulong wa ris ra yom. Chakin, Nzamb udi kaman wetu.	Vous le savez bien, nous n'avons jamais usé d'un langage flatteur; nous n'avons pas non plus caché sous nos paroles des motifs intéressés, Dieu nous en est témoin.
Kitwasotap katumb ka antu, ap kenen, ap ka antu akwau,	Nous n'avons recherché les éloges de personne, ni de vous ni des autres;
ap anch tukutwish kwitap nchik chom mulong tudi atwimbuy a Kristu, pakwez kitwitap. Pakwez twading twitudishin nakash mukach mwen mudi maku ulamina anend nawamp ku mayel.	pourtant nous aurions pu vous imposer notre autorité, en tant qu'apôtres du Christ. Au contraire, nous avons fait preuve de douceur parmi vous, comme une mère qui prend soin de ses enfants.
Mulong twakukatanya nakash, twading tukwet musangar wa kukurumburilany Rusangu Ruwamp ridiokila kudi Nzamb. Twasangara kand kwipan ayinetu kudi en, mulong wadingany akarukat netu nakash!	Nous avions une telle affection pour vous, que nous étions prêts à vous donner non seulement la Bonne Nouvelle de Dieu, mais encore notre propre vie. Vous nous étiez devenus si chers!
Anamakwetu in Kristu, en uvurikinany nawamp anch, etu twasala mudimu ukash nakash! Twasala uchuku ni muten, mulong kitwasotap kukutwikany en chisend pitwakurumburilangany Rusangu Ruwamp ridiokila kudi Nzamb.	Vous vous rappelez certainement, frères, nos peines et nos fatigues: nous avons travaillé jour et nuit pour n'être à la charge d'aucun d'entre vous tandis que nous vous annoncions la Bonne Nouvelle de Dieu.
En pamwing ni Nzamb udiany atuman etwetu anch, mutapu twashakama ni yenen in Kristu wading utumbil, ni kutentam, ni wakad kutufish nich.	Vous en êtes témoins à notre égard et Dieu l'est aussi: notre conduite envers vous, les croyants, a été pure, juste et irréprochable.
En wijany nawamp anch, twashakama ni yenen, muntu ni muntu, mudi mukat kushakamay tatuku nau anend.	Vous savez que nous avons agi avec chacun de vous comme un père avec ses enfants.
Twakukasikeshanganya, twakwongojanganya, twakubachikanganya kwikal nich mwom ukata kumusangarish Nzamb, ndiy kamu ukata kukutazukany en kwandam mu Want wend ni kutambulap uyaj wend.	Nous vous avons encouragés et réconfortés, nous vous avons demandé avec insistance de vous conduire d'une façon digne de Dieu, lui qui vous appelle à participer à son Royaume et à sa gloire.
Talany chom chikwau chitukata kumujikitishin Nzamb yisu yawonsu. Pitwakulejanya dizu dia Nzamb, en waditeshanya, chad waditambulany. Kiwadiakanyap mudi dizu dia muntu, pakwez wadiakanya mudi dizu diakin dia Nzamb ukata kusal mudimu mu en, in kwitiyij.	Nous remercions sans cesse Dieu pour une autre raison encore: Quand nous vous avons annoncé la parole de Dieu, vous l'avez écoutée et accueillie non comme une simple parole humaine, mais comme la parole de Dieu, ce qu'elle est réellement. Ainsi, elle agit en vous, les croyants.
Chawiy en, anamakwetu in Kristu, yom yiwamenanya en yawiy kand yom yamanau in Yikumbu ya Nzamb ya mwi ngand ya Yudeya, awiy kamu antu adia mu Kristu Yesu. En akuzengolanya kudi antu a ngand yen mudi mwayizengolau awiy kudi in Yuda,	Frères, vous avez passé par la même expérience que les Églises de Judée, qui appartiennent à Dieu et croient en Jésus-Christ. Vous avez souffert de la part de vos compatriotes ce qu'elles ont souffert de la part des Juifs.
awiy kamu amujipa Nsalejetu Yesu, ni aruu a Nzamb, awiy kand atuzengola niyetu. Awiy akat kumwovish Nzamb ujim, adi akankuny au antu awonsu!	Ceux-ci ont mis à mort le Seigneur Jésus et les prophètes, et ils nous ont persécutés. Ils déplaisent à Dieu et sont ennemis de tous les hommes!
Awiy atukangesha nich usu kurumburil kudi antu a michid yikwau rusangu ra kuyipandish. Chawiy mwamu awanyish kal yitil yau yasalangau machuku mawonsu. Pakwez katat ujim wa Nzamb wayishikedin!	Ils veulent nous empêcher d'annoncer aux autres peuples le message qui peut les sauver. Ils complètent ainsi la série de péchés qu'ils ont commis dans tous les temps. Mais la colère de Dieu les a finalement atteints.
Paul ukwet kuswir kwa kumanijan nau kakwau	Paul désire revoir les Thessaloniciens
Chawiy, anamakwetu in Kristu, etu twaurikanya ni yenen chisu chikemp. Twaurikanya ku mujimbu, pakwez ku muchim tudiany pamwing. Twasadil usu nakash wa kwez kukumanany, mulong twading nich impu nakash ya kumanijan ni yenen!	Quant à nous, frères, nous avons dû nous séparer de vous pour quelque temps, de corps et non de cœur, bien sûr. Mais nous avions un tel désir de vous revoir que nous avons redoublé d'efforts pour y parvenir.
Twasota kuchirik kudi en. Am amwinam, Paul, napakisha tupamp tuvud kwez, pakwez Sakudimban watukangesha.	Nous avons donc voulu retourner chez vous, et moi, Paul, j'ai essayé de le faire plus d'une fois. Mais Satan nous en a empêchés.
Chawiy yen kamu, kwikil antu akwau, en udiany ruchingej retu, ni musangar wetu, ni chijingidij chetu cha kupandakan. Chawiy chitukutwisha kwibazin kurutu kwa Nsalejetu Yesu pakuchirikay.	C'est vous, en effet, vous et personne d'autre, qui êtes notre espérance, notre joie et le signe de victoire dont nous pourrons être fiers devant notre Seigneur Jésus quand il viendra.
Chakin, etu tukat kwibaz ni kwov musangar mulong wenen!	Oui, vous êtes notre sujet de gloire et de joie!
Kitwatwishilap kuchingel, chawiy twatongila kushal ayinetu ku musumb wa Aten.	Finalement, nous n'avons plus pu supporter cette attente. Nous avons alors décidé de rester seuls à Athènes
Chad twamutumin mwanamakwetu, Timote, mwin Kristu ukata kusal mudimu wa Nzamb pamwing ni yetwetu, wawiy mudimu wa kurumburil Rusangu Ruwamp ra Kristu. Twamutumin mulong wa kukukwashany ni kukukasikeshany mu ritiy,	et nous vous avons envoyé Timothée, notre frère; il est collaborateur de Dieu pour la diffusion de la Bonne Nouvelle du Christ. Il devait vous fortifier et vous encourager dans votre foi,
chakwel kangal umwing wenen wachirik kwinyim mulong wa kuzengol kuumenanya katat. En ayinen wijany nawamp anch, Nzamb witiya etu kuman mar ma kuzengol kwinoku.	afin qu'aucun de vous ne se laisse abattre par les persécutions que nous subissons. Vous le savez vous-mêmes, de telles persécutions font partie du plan de Dieu à notre égard.
Mulong pitwadinga etu pamwing ni yenen, twakulejanya kurutu anch, tukez kuman mar ma kutuzengol. Chawiy en wijany nawamp chakin anch yawiy yom yashikina.	En effet, lorsque nous étions encore auprès de vous, nous vous avons prévenus que nous allions être persécutés; c'est ce qui est arrivé, vous le savez bien.
Wawiy mulong namutumidina Timote kudi en. Kinatwishilap kuchingel, chawiy namutumin ndiy mulong wa kujingunin rusangu ra ritiy ren. Nova wom anch, ap Sakudimban wakwozany, chad midimu yetu yawonsu yasheshik.	C'est pourquoi, comme je ne pouvais plus supporter cette attente, j'ai envoyé Timothée s'informer de votre foi. Je craignais que le diable ne vous ait tentés et que toute notre peine soit devenue inutile.
Pakwez katat Timote wachirikin kudi etu, watulejin rusangu ruwamp ra ritiy ren ni ra rukat ren. Watulejin anch, en ukat kutuvurikany etu yisu yawonsu nich rukat. Watulejin kand anch, en ukwetany impu ya kumanijan ni yetwetu, mudi etu niyetu tukweta impu ya kumanijan ni yenen.	Mais maintenant, Timothée nous est revenu de chez vous, et il nous a donné de bonnes nouvelles de votre foi et de votre amour. Il nous a dit que vous pensez toujours à nous avec affection et que vous désirez nous revoir tout comme nous désirons vous revoir.
Chawiy mu mar metu ni mu kuzengol kwetu, rusangu ra ritiy renen, anamakwetu in Kristu, ratukasikesha.	Ainsi, au milieu de toutes nos détresses et de toutes nos souffrances, nous avons été réconfortés à votre sujet, frères, grâce à votre foi.
Chad katat twapizurik kal mulong enwiminyany dang mu mwom wen mwi Nsalejetu.	Maintenant nous revivons puisque vous demeurez fermes dans l'union avec le Seigneur.
Katat etu tukutwish kumujikitish Nzamb wetu mulong wenen. Tukat kumujikitish mulong wa musangar ujim tukweta kurutu kwend mulong wenen.	Comment pourrions-nous assez remercier notre Dieu à votre sujet, à cause de toute la joie que vous nous donnez devant lui?
Muten ni uchuku tukat kudandamen kulembil nich mushiku chakwel tukutwish kumanijan ni yenen, mulong wa kuwanyish yom yiuburedinany mu ritiy ren.	Jour et nuit, nous lui demandons avec ardeur de nous permettre de vous revoir personnellement et de compléter ce qui manque encore à votre foi.
Tukat kulembil anch Nzamb Tatukwetu amwinend, ni Nsalejetu Yesu, atutenchikin njil chakwel tweza kudi en!	Que Dieu lui-même, notre Père, et notre Seigneur Jésus nous ouvrent le chemin qui conduit chez vous!
Tukat kulembil anch, Nsalejetu ajimbish rukat ren ni kuruwejaku kakwau ni kakwau kudi muntu ni mukwau, ni kudi antu awonsu mudi mudia rukat ritukweta etu kudi en.	Que le Seigneur fasse croître de plus en plus l'amour que vous avez les uns pour les autres et envers tous les humains, à l'exemple de l'amour que nous avons pour vous.
Tukat kulembil mwamu chakwel ndiy ukukasikesh michim yen, ukwikalany antu atumbila akad kufa nich kurutu kwa Nzamb Tatukwetu, pakuchirikay Nsalejetu Yesu pamwing nau antwend awonsu.	Qu'il fortifie vos cœurs, pour que vous soyez saints et irréprochables devant Dieu notre Père, quand notre Seigneur Jésus viendra avec tous ceux qui lui appartiennent. Amen.
Mutapu wa mwom ukata kumusangarish Nzamb	Une conduite qui plaît à Dieu
Anamakwetu in Kristu, mazu metu ma kwisudiel anch, en wilejinany kal kudi etu mutapu wa mwom wa kumusangarish Nzamb. Wawiy mutapu ushichanya ni katat. Chawiy katat twakulembijekany ni kukubachikany mu dijin dia Nsalejetu Yesu anch, dandamenany mwamu, wejanyaku kakwau ni kakwau.	Enfin, frères, vous avez appris de nous comment vous devez vous conduire pour plaire à Dieu. Certes, vous vous conduisez déjà ainsi. Mais maintenant, nous vous le demandons et vous en supplions au nom du Seigneur Jésus: faites mieux encore.
En wijany nawamp malejan mitwakulejinanya madiokila kudi Nsalejetu Yesu.	Vous connaissez en effet les instructions que nous vous avons données de la part du Seigneur Jésus.
Nzamb usotil en kwikal antu atumbila, wilamany kand ku usund.	Voici quelle est la volonté de Dieu: c'est que vous soyez saints et que vous vous gardiez de l'immoralité.
Chifanyidin ikundj nı ikundj wa pakach pen kwikal ni mukajend, chad ashakam nend mu katumb ni mu kalimish,	Que chacun de vous sache prendre femme d'une façon sainte et honorable,
wakad maku mayimp mudi mukat kusalau antu akad kumwijik Nzamb.	sans se laisser dominer par de mauvais désirs, comme les païens qui ne connaissent pas Dieu.
Chawiy mu chom chinech, kangal muntu wasal chom chiyimp kudi mwanamakwend mwin Kristu, ap kumudimb. Twakulejany kal nakash chom chinech, twakubabeshany kal kand anch, Nsalejetu ukez kulejan kadimu kudi awonsu akusala chitil chinech.	Dans cette affaire, que personne ne cause du tort à son frère ou ne porte atteinte à ses droits. Nous vous l'avons déjà dit et vous en avons sérieusement avertis: le Seigneur punira ceux qui commettent de telles fautes.
Nzamb katutazukap kwikal in usund, pakwez watutazuka kwikal antu atumbila.	Dieu ne nous a pas appelés à vivre dans l'immoralité, mais dans la sainteté.
Chawiy muntu mwawonsu ukulika malejan minam kamulikinap muntu, bwat, pakwez wamulik kal Nzamb ukata kukwinkishany Mwiku wend Utumbila.	C'est pourquoi, celui qui rejette ces prescriptions ne rejette pas un homme, mais Dieu qui vous donne son Saint-Esprit.
En kiukwetanyap kuswir kwa kukufundilany mulong wa kukatijan nau anamakwen in Kristu. En ayinen akulejinany kal kudi Nzamb mutapu wa kukatijan muntu ni mukwau.	Vous n'avez pas besoin qu'on vous écrive au sujet de l'amour fraternel; en effet, vous avez vous-mêmes appris de Dieu à vous aimer les uns les autres.
